geneId:ID,name,:LABEL
ACTL6B,ACTL6B,Gene
ACTL7A,ACTL7A,Gene
ACTL7B,ACTL7B,Gene
ACTL8,ACTL8,Gene
ACTN1,ACTN1,Gene
ACTN2,ACTN2,Gene
ACTN3,ACTN3,Gene
ACTN4,ACTN4,Gene
ACTR10,ACTR10,Gene
ACTR1A,ACTR1A,Gene
ACTR1B,ACTR1B,Gene
ACTR2,ACTR2,Gene
ACTR3,ACTR3,Gene
ACTR3B,ACTR3B,Gene
ACTR3C,ACTR3C,Gene
ACTR5,ACTR5,Gene
ACTR6,ACTR6,Gene
ACTR8,ACTR8,Gene
ACTRT1,ACTRT1,Gene
ACVR1,ACVR1,Gene
ACVR1B,ACVR1B,Gene
ACVR1C,ACVR1C,Gene
ACVR2A,ACVR2A,Gene
ACVR2B,ACVR2B,Gene
ACVRL1,ACVRL1,Gene
ACX1,ACX1,Gene
ACX3,ACX3,Gene
ACX4,ACX4,Gene
ACX5,ACX5,Gene
ACXA,ACXA,Gene
ACY1,ACY1,Gene
ACY3,ACY3,Gene
ACYB-2,ACYB-2,Gene
ACYP1,ACYP1,Gene
ACYP2,ACYP2,Gene
ADA,ADA,Gene
ADA2,ADA2,Gene
ADA2A,ADA2A,Gene
ADA2B,ADA2B,Gene
ADAD2,ADAD2,Gene
ADAL,ADAL,Gene
ADAM10,ADAM10,Gene
ADAM11,ADAM11,Gene
ADAM12,ADAM12,Gene
ADAM15,ADAM15,Gene
ADAM17,ADAM17,Gene
ADAM19,ADAM19,Gene
ADAM1A,ADAM1A,Gene
ADAM2,ADAM2,Gene
ADAM20,ADAM20,Gene
ADAM22,ADAM22,Gene
ADAM23,ADAM23,Gene
ADAM28,ADAM28,Gene
ADAM33,ADAM33,Gene
ADAM5,ADAM5,Gene
ADAM8,ADAM8,Gene
ADAM9,ADAM9,Gene
ADAMTS1,ADAMTS1,Gene
ADAMTS10,ADAMTS10,Gene
ADAMTS12,ADAMTS12,Gene
ADAMTS17,ADAMTS17,Gene
ADAMTS18,ADAMTS18,Gene
ADAMTS2,ADAMTS2,Gene
ADAMTS4,ADAMTS4,Gene
ADAMTS6,ADAMTS6,Gene
ADAMTSL2,ADAMTSL2,Gene
ADAMTSL3,ADAMTSL3,Gene
ADAMTSL4,ADAMTSL4,Gene
ADAMTSL5,ADAMTSL5,Gene
ADAP,ADAP,Gene
ADAP1,ADAP1,Gene
ADAP2,ADAP2,Gene
ADAR,ADAR,Gene
ADARB1,ADARB1,Gene
ADARB2,ADARB2,Gene
ADAT1,ADAT1,Gene
ADAT2,ADAT2,Gene
ADAT3,ADAT3,Gene
ADC2,ADC2,Gene
ADCK1,ADCK1,Gene
ADCK2,ADCK2,Gene
ADCK3,ADCK3,Gene
ADCK4,ADCK4,Gene
ADCK5,ADCK5,Gene
ADCY2,ADCY2,Gene
ADCY3,ADCY3,Gene
ADCY4,ADCY4,Gene
ADCY5,ADCY5,Gene
ADCY6,ADCY6,Gene
ADCY7,ADCY7,Gene
ADCY8,ADCY8,Gene
ADCY9,ADCY9,Gene
ADCYAP1,ADCYAP1,Gene
ADCYAP1R1,ADCYAP1R1,Gene
ADD1,ADD1,Gene
ADD2,ADD2,Gene
ADD3,ADD3,Gene
ADD37,ADD37,Gene
ADD66,ADD66,Gene
ADE1,ADE1,Gene
ADE12,ADE12,Gene
ADE13,ADE13,Gene
ADE16,ADE16,Gene
ADE17,ADE17,Gene
ADE2,ADE2,Gene
ADE3,ADE3,Gene
ADE4,ADE4,Gene
ADE5,ADE5,Gene
ADE6,ADE6,Gene
ADE8,ADE8,Gene
ADF1,ADF1,Gene
ADF3,ADF3,Gene
ADF4,ADF4,Gene
ADF6,ADF6,Gene
ADG1,ADG1,Gene
ADH1,ADH1,Gene
ADH1A,ADH1A,Gene
ADH1B,ADH1B,Gene
ADH1C,ADH1C,Gene
ADH2,ADH2,Gene
ADH3,ADH3,Gene
ADH4,ADH4,Gene
ADH5,ADH5,Gene
ADH6,ADH6,Gene
ADH7,ADH7,Gene
ADHFE1,ADHFE1,Gene
ADI1,ADI1,Gene
ADIPOQ,ADIPOQ,Gene
ADIPOR1,ADIPOR1,Gene
ADIPOR2,ADIPOR2,Gene
ADIRF,ADIRF,Gene
ADK,ADK,Gene
ADK1,ADK1,Gene
ADK2,ADK2,Gene
ADL6,ADL6,Gene
ADM,ADM,Gene
ADNP,ADNP,Gene
ADNP2,ADNP2,Gene
ADO,ADO,Gene
ADO1,ADO1,Gene
ADORA1,ADORA1,Gene
ADORA2A,ADORA2A,Gene
ADORA2B,ADORA2B,Gene
ADORA3,ADORA3,Gene
ADP1,ADP1,Gene
ADPGK,ADPGK,Gene
ADPRH,ADPRH,Gene
ADPRHL2,ADPRHL2,Gene
ADR1,ADR1,Gene
ADRA1B,ADRA1B,Gene
ADRA1D,ADRA1D,Gene
ADRA2A,ADRA2A,Gene
ADRA2B,ADRA2B,Gene
ADRA2C,ADRA2C,Gene
ADRB1,ADRB1,Gene
ADRB2,ADRB2,Gene
ADRB3,ADRB3,Gene
ADRBK1,ADRBK1,Gene
ADRBK2,ADRBK2,Gene
ADRM1,ADRM1,Gene
ADSL,ADSL,Gene
ADSS,ADSS,Gene
ADSSL1,ADSSL1,Gene
ADT1,ADT1,Gene
ADT4,ADT4,Gene
ADT5,ADT5,Gene
ADTRP,ADTRP,Gene
ADY2,ADY2,Gene
ADY3,ADY3,Gene
ADY4,ADY4,Gene
AEBP1,AEBP1,Gene
AEBP2,AEBP2,Gene
AEN,AEN,Gene
AEP1,AEP1,Gene
AEP2,AEP2,Gene
AEP3,AEP3,Gene
AER,AER,Gene
AES,AES,Gene
AF251705,AF251705,Gene
AF366264,AF366264,Gene
AFAP1,AFAP1,Gene
AFAP1L1,AFAP1L1,Gene
AFAP1L2,AFAP1L2,Gene
AFB1,AFB1,Gene
AFB2,AFB2,Gene
AFB3,AFB3,Gene
AFB5,AFB5,Gene
AFF1,AFF1,Gene
AFF3,AFF3,Gene
AFF4,AFF4,Gene
AFG1,AFG1,Gene
AFG2,AFG2,Gene
AFG3,AFG3,Gene
AFG3L1P,AFG3L1P,Gene
AFG3L2,AFG3L2,Gene
AFH1,AFH1,Gene
AFH14,AFH14,Gene
AFI1,AFI1,Gene
AFMID,AFMID,Gene
AFO,AFO,Gene
AFP,AFP,Gene
AFP2,AFP2,Gene
AFP3,AFP3,Gene
AFR,AFR,Gene
AFR1,AFR1,Gene
AFT1,AFT1,Gene
AFT2,AFT2,Gene
AFTPH,AFTPH,Gene
AG,AG,Gene
AGA,AGA,Gene
AGA1,AGA1,Gene
AGA2,AGA2,Gene
AGAP1,AGAP1,Gene
AGAP10,AGAP10,Gene
AGAP11,AGAP11,Gene
AGAP2,AGAP2,Gene
AGAP3,AGAP3,Gene
AGAP4,AGAP4,Gene
AGAP5,AGAP5,Gene
AGAP7P,AGAP7P,Gene
AGB1,AGB1,Gene
AGBE,AGBE,Gene
AGBL2,AGBL2,Gene
AGBL5,AGBL5,Gene
AGC1,AGC1,Gene
AGC1.5,AGC1.5,Gene
AGC1.7,AGC1.7,Gene
AGC2-1,AGC2-1,Gene
AGD2,AGD2,Gene
AGD5,AGD5,Gene
AGD7,AGD7,Gene
AGD9,AGD9,Gene
AGE1,AGE1,Gene
AGE2,AGE2,Gene
AGER,AGER,Gene
AGF1,AGF1,Gene
AGFG1,AGFG1,Gene
AGFG2,AGFG2,Gene
AGG2,AGG2,Gene
AGGF1,AGGF1,Gene
AGK,AGK,Gene
AGK2,AGK2,Gene
AGL,AGL,Gene
AGL101,AGL101,Gene
AGL102,AGL102,Gene
AGL103,AGL103,Gene
AGL104,AGL104,Gene
AGL12,AGL12,Gene
AGL13,AGL13,Gene
AGL14,AGL14,Gene
AGL15,AGL15,Gene
AGL16,AGL16,Gene
AGL17,AGL17,Gene
AGL18,AGL18,Gene
AGL19,AGL19,Gene
AGL20,AGL20,Gene
AGL21,AGL21,Gene
AGL23,AGL23,Gene
AGL24,AGL24,Gene
AGL26,AGL26,Gene
